"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted"
"SRSF7",-0.126631627145322,0.000109766812643252,-0.114889329936904,0.00209636319086944,FALSE,FALSE
"SCRN2",-0.147452200722325,0.00010982439745536,-0.151248816573686,0.00034805028399857,FALSE,FALSE
"CXCL5",0.55269143147091,0.000110086939823899,0.406588798849543,0.0113840642728459,FALSE,FALSE
"CTSF",-0.219396822477596,0.000110208754765152,-0.204394403108115,0.00109429119916258,FALSE,FALSE
"AC108734.3",0.262656409337763,0.000110470672222154,0.203105470120397,0.00790294381477723,FALSE,FALSE
"NRCAM",-0.462109318599938,0.000110476558115676,-0.531023622261404,4.82125431004913e-05,FALSE,FALSE
"SCPEP1",0.16435580010018,0.000110679607009315,0.175531377402425,0.000197337804336074,FALSE,FALSE
"ZNF790-AS1",-0.230267908297142,0.000110868116825771,-0.229717713537999,0.000433029275162173,FALSE,FALSE
"CISH",0.168315596550875,0.000111143278514192,0.152396772416885,0.00177856902869679,FALSE,FALSE
"LINC01531",0.501491262420666,0.000111143278514192,0.360895187556352,0.00893218990199247,FALSE,FALSE
"TM9SF1",0.169124053018933,0.000111233422272849,0.181029964598244,0.000184367532890485,FALSE,FALSE
"DDHD2",-0.149331465198913,0.000112226052048948,-0.138792304088564,0.00136717930265152,FALSE,FALSE
"RPAP3",0.128969698899469,0.000114655181340702,0.12231763940304,0.00123990360066158,FALSE,FALSE
"CAB39",0.142947629809813,0.000114799980363568,0.120849713641431,0.00289962227363659,FALSE,FALSE
"CANT1",0.201716948884226,0.000115406877941142,0.18651561631368,0.00179498223416046,FALSE,FALSE
"ELOVL5",0.16667747652293,0.000116615454404307,0.114943138217147,0.0158482000915426,FALSE,FALSE
"RASAL3",-0.152851469909448,0.000116719852892542,-0.146942787276392,0.000768900863909782,FALSE,FALSE
"ENDOV",-0.128955296352449,0.00011695920885092,-0.109533154701757,0.00403020206655559,FALSE,FALSE
"ARHGAP33",-0.229848279420085,0.00011695920885092,-0.251231650401771,0.000135748172663107,FALSE,FALSE
"TMBIM6",0.104376679525936,0.00011695920885092,0.102642253747592,0.000817366637860919,FALSE,FALSE
"AC012085.1",0.165347010981362,0.000116979356527881,0.156034532840478,0.0010597751883711,FALSE,FALSE
"LAT",-0.2289351623905,0.000117052035311751,-0.265793335825233,3.31474991519207e-05,FALSE,FALSE
"MRPL46",-0.17428049803365,0.000117160945164589,-0.154241793970305,0.00269898749629288,FALSE,FALSE
"TRGV10",-0.307221283763633,0.000117160945164589,-0.361506127683768,5.99427642180598e-05,FALSE,FALSE
"SIRPD",0.307316310429311,0.00011767350262796,0.310708338179561,0.000509756104764208,FALSE,FALSE
"MUC20P1",-0.439782561320745,0.00011767350262796,-0.50639436612253,7.72545500149787e-05,FALSE,FALSE
"METTL26",-0.161354479651689,0.000117743576228026,-0.123543525634475,0.00799375055293527,FALSE,FALSE
"XKR3",0.804862282172129,0.000117743576228026,0.819051729941368,0.000522617748551138,FALSE,FALSE
"LYN",0.264959532465703,0.000118211458054231,0.229959015302633,0.00307281544346642,FALSE,FALSE
"CR1",0.368778110425453,0.000118345349262049,0.36153111364832,0.000769750098446372,FALSE,FALSE
"CD8B2",-0.313269524630136,0.000118386098079592,-0.315518538838277,0.000522589018640192,FALSE,FALSE
"MYLK",0.365423477649116,0.000118386098079592,0.325029979565167,0.00248927848020368,FALSE,FALSE
"PKM",0.160916466083645,0.000118981798531007,0.185970483644007,7.56982973795748e-05,FALSE,FALSE
"NFXL1",0.41272295462641,0.0001192427020443,0.436879790643152,0.000320987355050553,FALSE,FALSE
"SPECC1",0.202930008274696,0.000119280766650651,0.186552385437163,0.00180454229040388,FALSE,FALSE
"TNIP1",0.20821580888233,0.000119280766650651,0.178442555372613,0.00368392080403918,FALSE,FALSE
"LPCAT4",-0.113980015767035,0.000119280766650651,-0.0993305696501986,0.00228933548690232,FALSE,FALSE
"AC007336.1",0.327885133382405,0.000119487131862506,0.245690177897396,0.00988375877814137,FALSE,FALSE
"TMED7",0.173351925118938,0.000119487131862506,0.123985174156254,0.00838944590622776,FALSE,FALSE
"N4BP2L2-IT2",-0.123954842498139,0.000119904695641982,-0.125862756646097,0.000438050647307533,FALSE,FALSE
"CU639417.1",0.413331964169639,0.000120018518196281,0.438435689575903,0.000217878258778738,FALSE,FALSE
"AC124248.1",0.410041241454468,0.000120033552778884,0.440889985514605,0.000174829144477222,FALSE,FALSE
"AC136475.8",0.392643999584431,0.000120917945948307,0.300497220243332,0.007227716804081,FALSE,FALSE
"SLC38A2",0.163880368377007,0.000120969735755453,0.143694678686813,0.00233829267352102,FALSE,FALSE
"ACTR3",0.110757691248414,0.000121744911966603,0.104324400679462,0.00119040751564067,FALSE,FALSE
