"gene","logFC","logCPM","F","PValue","FDR"
"WASH7P",0.101585116709468,3.30103610629748,4.06009911482726,0.0445359317619663,0.105532782861004
"C7orf50",0.100186788022158,5.3947166377212,4.05703560583713,0.0446159646571126,0.10570573306791
"C4A",0.249343224612296,0.277193271700311,4.05499459988736,0.0446727066388994,0.10581247630721
"SPIDR",0.0472477381478331,5.23569765489736,4.05477597177359,0.0446751249786609,0.10581247630721
"FBXO31",-0.0628702735331773,5.26970003525911,4.05445832487411,0.0446834480200493,0.10581548337755
"ZDHHC1",0.130130171845601,2.08398528058011,4.05412613248624,0.0446923247799761,0.105819800560164
"ZMYND10",-0.107830530994438,1.7010204606702,4.05339052369626,0.0447117021292246,0.105848975121134
"ZNRD2",0.0805770375782711,4.19649512608929,4.05102646661815,0.0447734805638854,0.1059785035373
"MAP3K7CL",0.154870581096337,4.79169956554491,4.0507143240096,0.0447816749795157,0.105981178110537
"WAKMAR2",-0.0947921254812057,2.20236535964012,4.05011053812059,0.0447976702079252,0.106002310482538
"PAXIP1-AS2",-0.0990885028902882,3.11246210362851,4.04941916571081,0.0448157555132905,0.106028381045637
"ZNF835",-0.144064571774917,0.697014513118098,4.04849809004909,0.0448411146340687,0.106071649596389
"ACSL6",-0.131537478675195,2.77327267453256,4.0465249988068,0.0448919227327526,0.106175094566728
"C12orf29",-0.151941125469564,2.33231722270032,4.04608800660993,0.044903487488952,0.106177793890664
"BEND3",-0.0864231812978847,0.521446800049339,4.04599589217354,0.0449072191865259,0.106177793890664
"RAP2B",0.0532620852515671,6.21097152893638,4.04440784289246,0.0449476409571266,0.106256619861143
"FXYD2",-0.155212466499339,0.0669617094287474,4.04244049279229,0.0450026052021203,0.106369794114103
"C19orf53",0.0977083689310135,5.92367321245593,4.04118226095888,0.0450327802775039,0.106424349357768
"GSDMA",0.32538240795045,0.205456539493641,4.04081204147241,0.0450451751035048,0.106436874610613
"CSK",0.0841965292346039,9.24236766622256,4.03969908839407,0.0450719856060056,0.106453230705139
"GTF3C2-AS2",-0.074479642144928,2.15496956987557,4.03964976595048,0.0450734380000024,0.106453230705139
"PYGM",0.0966524347682972,3.70953375565383,4.03942747224005,0.0450791882955352,0.106453230705139
"IRAG1",0.160958833095603,6.02218545431893,4.03937789246097,0.0450804809138614,0.106453230705139
"FBXO42",0.0466895706802577,5.53296914425494,4.03798912554825,0.0451172311495012,0.10652324546818
"NDUFA8",0.072974026001409,4.08452860174921,4.03771849752582,0.0451244040912569,0.106523416235568
"HSD17B7",-0.045807041904619,2.67105422368993,4.03744127959213,0.0451318143901648,0.106524147180814
"GOLGA8B",-0.166811741142306,5.02464560570602,4.03652999069881,0.045155878185052,0.106564178784356
"COPS9",0.119802056071115,3.95156240047933,4.03612366983578,0.0451666629547979,0.106572865311085
"G6PD",0.126368492793605,8.14768163845844,4.03584351880717,0.0451740709727037,0.106573582753971
